epoch,step,min,max,mean,std
1,10000,-0.10988550633192062,0.14232374727725983,0.0007131206803023815,0.026573432609438896
2,20000,-0.10500331223011017,0.11212362349033356,0.00019369859364815056,0.02305423468351364
3,30000,-0.03417211025953293,0.030799906700849533,-0.00025903148343786597,0.007016542833298445
4,40000,-0.08296859264373779,0.07094170898199081,-0.0007859734469093382,0.01488255150616169
5,50000,-0.035628579556941986,0.07166038453578949,0.0007639240939170122,0.009035850875079632
6,60000,-0.10026062279939651,0.12509620189666748,0.0004676042590290308,0.023391520604491234
7,70000,-0.011544106528162956,0.05100193992257118,0.0009044819744303823,0.006108401343226433
8,80000,-0.13408425450325012,0.10097260773181915,-0.0002981393481604755,0.02200300432741642
9,90000,-0.07980234920978546,0.1046547144651413,0.0009742487454786897,0.020672094076871872
10,100000,-0.14429618418216705,0.08407488465309143,-0.00288707809522748,0.026724616065621376
