epoch,step,min,max,mean,std
1,10000,-0.013829683884978294,0.044500477612018585,0.0014063052367419004,0.008456235751509666
2,20000,-0.016540834680199623,0.07498897612094879,0.0031477916054427624,0.010228525847196579
3,30000,-0.012946664355695248,0.0029250183142721653,-0.0003563626669347286,0.0020004131365567446
4,40000,-0.01645873486995697,0.009503860957920551,-0.0004500695504248142,0.002770276740193367
5,50000,-0.015072164125740528,0.018323149532079697,0.00045969459461048245,0.0043447487987577915
6,60000,-0.013682587072253227,0.010730026289820671,-0.0010832673870027065,0.00340591324493289
7,70000,-0.02001653052866459,0.015602373518049717,-0.0007731179939582944,0.004590910859405994
8,80000,-0.023341001942753792,0.004782505799084902,-0.0007990177255123854,0.0032740128226578236
9,90000,-0.036626026034355164,0.0019515680614858866,-0.0014442906249314547,0.0051884897984564304
10,100000,-0.03040437214076519,0.12268764525651932,0.0016239387914538383,0.012936205603182316
