epoch,step,min,max,mean,std
1,10000,-0.010310199111700058,0.009394967928528786,0.00023628934286534786,0.0028450258541852236
2,20000,-0.007528388407081366,0.010803855955600739,0.0005267978995107114,0.002721782075241208
3,30000,-0.005406765732914209,0.005321163218468428,-6.615358870476484e-05,0.0009568212553858757
4,40000,-0.010736974887549877,0.005629195831716061,-4.0653107134858146e-05,0.0015685814432799816
5,50000,-0.013148668222129345,0.001793602597899735,-0.000330961134750396,0.0015615805750712752
6,60000,-0.01253946591168642,0.008774175308644772,-0.00013232490164227784,0.0020069086458534002
7,70000,-0.009761638939380646,0.001689688302576542,-0.00024082498566713184,0.001256014104001224
8,80000,-0.010748453438282013,0.017924001440405846,0.0001492775190854445,0.0024270981084555387
9,90000,-0.015435189940035343,0.01122332364320755,-3.755842408281751e-05,0.0021882974542677402
10,100000,-0.014254814945161343,0.02282337099313736,0.0002980456338264048,0.0032906653359532356
