epoch,step,min,max,mean,std
1,10000,-0.007172139827162027,0.008408955298364162,1.7992419088841416e-05,0.0007318048155866563
2,20000,-0.00864324625581503,0.013320875354111195,4.097758937859908e-05,0.0007635337533429265
3,30000,-0.006220947951078415,0.00587903056293726,-1.1863688087032642e-05,0.00023456226335838437
4,40000,-0.008188134990632534,0.0032496522180736065,-2.407202146059717e-06,0.00023038465587887913
5,50000,-0.007025805301964283,0.002421134617179632,-1.3108014172757976e-05,0.0002217780565842986
6,60000,-0.0059964354149997234,0.010927948169410229,-1.6850999600137584e-06,0.0003399100387468934
7,70000,-0.0032591414637863636,0.0013890131376683712,-7.726808689767495e-06,9.22106410143897e-05
8,80000,-0.005174913443624973,0.007403456140309572,4.404042556416243e-06,0.00018723039829637855
9,90000,-0.017202461138367653,0.0190366692841053,-1.1347190593369305e-05,0.0003251942980568856
10,100000,-0.025909360498189926,0.04447029531002045,1.1044942766602617e-05,0.0009621373610571027
