epoch,step,min,max,mean,std
1,10000,-0.15678659081459045,0.14224232733249664,0.0002610499213915318,0.022382091730833054
2,20000,-0.293327659368515,0.26984941959381104,0.0003399616398382932,0.03509761765599251
3,30000,-0.0708242729306221,0.06335911154747009,-8.778161281952634e-05,0.009237290360033512
4,40000,-0.08166202902793884,0.07099147140979767,6.43450694042258e-05,0.010936422273516655
5,50000,-0.06599041074514389,0.06961865723133087,0.00023422572121489793,0.009574638679623604
6,60000,-0.17106135189533234,0.19241058826446533,0.0005668973317369819,0.02554233744740486
7,70000,-0.011589751578867435,0.05062420293688774,0.00038033383316360414,0.0037003462202847004
8,80000,-0.13701941072940826,0.10120341181755066,-0.00044249335769563913,0.015406953170895576
9,90000,-0.1445658951997757,0.09447524696588516,-0.00011642981553450227,0.018332840874791145
10,100000,-0.47521716356277466,0.5062962770462036,0.0016964051173999906,0.06077418848872185
